timestep,walltime_sec,ep_rew_mean,ep_len_mean
20480,5.33,88.9859,82.79
40960,11.25,95.4781,83.83
61440,17.12,100.4647,85.53
81920,22.75,104.4337,91.34
102400,28.69,110.0303,95.10
122880,34.67,116.6622,99.50
143360,40.54,122.5883,101.55
163840,46.24,137.9145,108.29
184320,52.07,135.7481,112.77
204800,57.74,142.3899,120.79
225280,63.57,145.6957,119.90
245760,69.19,154.4229,124.27
266240,74.79,171.6828,130.76
286720,80.29,184.5811,131.24
307200,85.81,166.9015,134.06
327680,91.53,188.7666,145.26
348160,96.89,203.6780,158.99
368640,102.35,206.0260,150.56
389120,107.81,186.9824,156.47
409600,113.27,203.2571,160.32
430080,118.78,208.1630,167.88
450560,124.27,215.0723,164.47
471040,129.73,219.8972,173.57
491520,135.11,221.2102,167.52
512000,140.55,218.7802,181.98
532480,146.05,226.0903,193.97
552960,151.34,254.3450,195.98
573440,157.16,218.9685,192.75
593920,162.93,243.1687,205.72
614400,168.58,295.0185,224.44
634880,174.88,273.6158,211.34
655360,180.66,271.5746,223.84
675840,186.30,299.7445,235.37
696320,192.12,327.0837,245.51
716800,198.93,311.6742,228.62
737280,206.20,316.5282,238.30
757760,212.53,333.7361,233.21
778240,218.70,318.4430,251.71
798720,224.98,353.2729,252.24
819200,236.77,386.8252,269.14
839680,243.43,448.1598,287.26
860160,250.59,353.9960,261.51
880640,257.25,337.3259,257.17
901120,263.87,383.6205,264.43
921600,270.13,399.3914,279.41
942080,278.91,428.6177,295.90
962560,285.92,403.1295,289.28
983040,292.09,452.3419,309.67
1003520,298.10,375.0544,269.77
1024000,304.39,442.2161,290.22
1044480,310.75,450.3647,291.24
1064960,317.05,454.9288,307.28
1085440,322.91,414.4560,272.08
1105920,329.92,514.2271,312.76
1126400,342.81,509.2852,320.80
1146880,348.93,468.5593,293.24
1167360,355.43,460.0195,290.26
1187840,362.79,499.6165,314.00
1208320,375.93,411.6681,277.65
1228800,382.10,414.1498,286.81
1249280,388.14,474.0421,295.63
1269760,394.33,524.7705,306.24
1290240,400.52,578.5041,329.39
1310720,407.76,526.5544,312.65
1331200,414.07,489.4451,293.11
1351680,420.65,497.5735,294.52
1372160,426.85,533.5773,303.21
1392640,433.18,578.0006,301.20
1413120,439.66,508.5643,288.45
1433600,446.21,508.3542,316.49
1454080,452.09,576.7519,324.65
1474560,458.14,582.4812,310.34
1495040,463.67,579.2111,318.51
1515520,472.92,575.3007,311.47
1536000,482.35,591.3732,320.09
1556480,492.18,601.2586,334.41
1576960,501.57,633.8329,322.05
1597440,510.65,571.7442,316.52
1617920,519.82,613.7274,327.17
1638400,529.70,618.7946,315.75
1658880,540.57,563.1784,323.91
1679360,550.43,593.1566,336.16
1699840,559.99,709.0415,366.39
1720320,569.49,642.5536,337.19
1740800,579.39,588.0817,306.77
1761280,589.46,610.3461,334.42
1781760,596.19,732.7404,366.41
1802240,602.47,724.7834,371.59
1822720,608.80,643.5802,338.07
1843200,615.15,647.9302,332.30
1863680,622.35,704.0401,344.35
1884160,629.64,769.1518,359.12
1904640,636.21,786.3458,365.20
1925120,645.15,737.8584,356.03
1945600,658.70,694.4275,338.34
1966080,670.28,680.5376,343.55
1986560,676.46,707.2360,348.91
2007040,682.82,765.9434,383.94
2027520,689.14,778.8438,387.49
2048000,695.99,738.3487,366.40
2068480,703.00,778.6800,379.63
2088960,710.16,694.4915,345.64
2109440,717.31,691.8930,329.54
2129920,724.84,672.3205,322.76
2150400,732.10,801.8106,363.37
2170880,739.99,736.3565,352.02
2191360,749.22,736.4228,346.92
2211840,758.20,769.2412,363.74
2232320,767.69,755.0770,372.39
2252800,777.15,714.3718,345.97
2273280,786.63,798.3768,397.83
2293760,796.46,770.4832,381.01
2314240,806.25,755.6603,354.13
2334720,813.26,836.8290,373.84
2355200,820.07,751.4231,343.46
2375680,827.66,676.6899,327.51
2396160,836.59,691.8393,333.76
2416640,843.81,765.3500,344.30
2437120,850.57,810.3430,366.12
2457600,856.73,774.5818,358.26
2478080,863.29,746.5701,346.92
2498560,870.72,773.8982,373.79
2519040,876.50,809.0789,375.68
2539520,881.83,838.6668,341.51
2560000,887.33,860.0667,361.93
2580480,893.45,832.0994,361.44
2600960,899.75,835.6603,357.16
2621440,905.98,781.6224,345.13
2641920,912.39,793.3396,348.17
2662400,919.22,821.6347,372.24
2682880,926.32,848.9726,388.17
2703360,933.16,822.8197,363.25
2723840,939.96,811.6185,357.42
2744320,946.55,833.1682,366.44
2764800,952.95,871.2401,380.11
2785280,959.17,914.4306,389.18
2805760,965.09,913.6228,380.92
2826240,972.32,854.8449,384.44
2846720,978.50,823.3550,375.09
2867200,985.33,872.4709,374.27
2887680,992.36,899.9895,391.65
2908160,999.20,899.6484,387.96
2928640,1006.33,834.8771,367.56
2949120,1013.75,875.2482,372.11
2969600,1020.90,859.2168,366.00
2990080,1028.55,834.0019,365.03
3010560,1036.15,865.3572,369.20
3031040,1043.31,840.7854,360.92
3051520,1050.24,888.1845,381.95
3072000,1057.03,903.6317,384.26
3092480,1064.78,930.4823,396.26
3112960,1073.26,955.2129,395.16
3133440,1082.11,953.3469,389.50
3153920,1089.96,835.2746,355.03
3174400,1097.17,887.7571,384.13
3194880,1105.49,891.4134,383.32
3215360,1113.25,832.5912,349.07
3235840,1122.17,845.1817,364.69
3256320,1130.47,835.1624,361.42
3276800,1139.21,806.2486,380.42
3297280,1147.10,772.9944,387.50
3317760,1156.03,829.2868,369.50
3338240,1164.32,851.1941,378.38
3358720,1172.69,778.7853,383.09
3379200,1181.65,739.3213,379.73
3399680,1191.18,737.2852,368.35
3420160,1198.40,788.7484,380.31
3440640,1206.71,827.6902,387.86
3461120,1214.61,789.0950,378.93
3481600,1221.71,697.4092,347.64
3502080,1229.69,723.3905,355.57
3522560,1236.19,743.7406,365.18
3543040,1243.23,797.5304,378.79
3563520,1250.64,829.4143,386.93
3584000,1258.39,738.1820,376.75
3604480,1269.06,754.4581,359.63
3624960,1278.25,778.7996,373.41
3645440,1288.16,776.8206,383.90
3665920,1297.46,749.9814,373.62
3686400,1307.03,749.0371,380.36
3706880,1316.68,832.6924,383.19
3727360,1329.46,831.4727,378.34
3747840,1342.13,863.3998,379.91
3768320,1351.04,806.7572,373.27
3788800,1359.03,766.4760,355.33
3809280,1374.07,798.6330,376.54
3829760,1396.96,731.6532,368.47
3850240,1412.76,734.8076,359.47
3870720,1421.00,776.3870,373.19
3891200,1431.47,753.1368,380.84
3911680,1441.53,757.2943,387.43
3932160,1450.50,775.0461,369.32
3952640,1458.26,780.0125,369.10
3973120,1466.06,812.4456,370.32
3993600,1473.97,777.8239,354.35
4014080,1482.84,806.3706,373.08
4034560,1492.31,870.4931,387.96
4055040,1500.96,797.7372,361.82
4075520,1510.09,710.4383,357.45
4096000,1518.57,732.5450,363.30
4116480,1526.84,739.3373,351.49
4136960,1535.65,813.5233,367.78
4157440,1545.24,778.8942,372.52
4177920,1552.74,701.1547,361.81
4198400,1559.49,752.3550,346.81
4218880,1567.82,734.9969,351.06
4239360,1576.68,724.3038,344.54
4259840,1584.79,851.8644,371.60
4280320,1592.16,809.9433,368.10
4300800,1600.25,759.3019,376.47
4321280,1611.09,736.9505,358.75
4341760,1621.72,729.0488,350.83
4362240,1628.54,748.4179,359.45
4382720,1637.27,780.2834,380.24
4403200,1646.44,790.8082,377.34
4423680,1654.85,811.3496,385.75
4444160,1662.49,829.2479,387.23
4464640,1670.52,859.8293,401.88
4485120,1678.57,930.1491,425.60
4505600,1686.91,896.9131,405.78
4526080,1696.10,811.1382,371.90
4546560,1702.62,761.6701,358.22
4567040,1711.54,722.5325,346.98
